edades;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres
0 a 4;1055349;992383;1048999;986413;1042928;980703;1037258;975372;1032132;970549;1027691;966369;1024077;962968;1021431;960473;1019880;959010;1019545;958688;1020520;959600;1022879;961814;1026640;965347;1031771;970165;1038174;976183;1045668;983228;1053981;991042;1062759;999296;1071607;1007616;1080056;1015562;1087618;1022676;1093849;1028540;1098360;1032786;1100844;1035131;1101134;1035411;1099217;1033619;1095226;1029874;1089440;1024443;1082263;1017701;1074158;1010087;1065627;1002070;1057152;994101;1048348;985825;1039609;977602;1031058;969553;1022917;961888;1015177;954601;1008623;948423;1003249;943360;999088;939435;996228;936733;994764;935346;994778;935346;996400;936859;999726;939974;1004900;944826;1012105;951860;1027816;967870;1047223;986545;1068022;1005698;1083698;1021096
5 a 9;1059817;998179;1056108;994673;1053347;992055;1051663;990446;1051170;989955;1051966;990673;1054117;992666;1057642;995950;1062508;1000493;1068624;1006212;1075811;1012938;1083798;1020419;1092251;1028335;1100773;1036322;1108911;1043949;1116191;1050772;1122177;1056379;1126487;1060414;1128822;1062595;1129015;1062764;1127052;1060911;1123059;1057147;1117305;1051732;1110179;1045026;1102130;1037455;1093640;1029467;1085173;1021496;1076347;1013189;1067511;1004874;1058942;996807;1050838;989179;1043325;982107;1037290;976426;1032788;972188;1029713;969297;1028116;967798;1027956;967654;1029241;968867;1032049;971504;1036505;975680;1042720;981486;1051010;989478;1067397;1006000;1087174;1024864;1107953;1043806;1123328;1058707;1147731;1081188;1170857;1101290;1190427;1119020;1212496;1138763;1250798;1173114
10 a 14;1084533;1023190;1086437;1024932;1089694;1027944;1094274;1032195;1100085;1037601;1106954;1044003;1114620;1051151;1122753;1058738;1130965;1066398;1138813;1073720;1145830;1080259;1151586;1085616;1155711;1089442;1157905;1091455;1158004;1091500;1155991;1089564;1151984;1085757;1146249;1080327;1139164;1073628;1131164;1066070;1122713;1058094;1114265;1050116;1105428;1041779;1096538;1033398;1087856;1025219;1079565;1017417;1071788;1010109;1065391;1004103;1060410;999439;1056882;996148;1054858;994277;1054424;993902;1055703;995135;1058854;998115;1063861;1002828;1070858;1009380;1080096;1018256;1097369;1035570;1118012;1055181;1139806;1074973;1156517;1090966;1182326;1114571;1207070;1136014;1228361;1155084;1251606;1175634;1289970;1209764;1306008;1223907;1310626;1227623;1306150;1224779;1293149;1213941;1261153;1187261
15 a 19;1162290;1099481;1169615;1106288;1177405;1113529;1185280;1120847;1192799;1127832;1199503;1134048;1204967;1139101;1208823;1142641;1210777;1144394;1210663;1144205;1208466;1142059;1204302;1138066;1198430;1132469;1191222;1125616;1183108;1117914;1174545;1109790;1165969;1101658;1156988;1093151;1147925;1084578;1139025;1076170;1130467;1068103;1122369;1060482;1115578;1054108;1110140;1049019;1106089;1045248;1103486;1042845;1102416;1041886;1103010;1042495;1105423;1044799;1109815;1048938;1116335;1055044;1125443;1063783;1143018;1081359;1164575;1101799;1187782;1122888;1206513;1140759;1234625;1166521;1261932;1190397;1285950;1212008;1311910;1235055;1352707;1271402;1371214;1287760;1378001;1293281;1375203;1291638;1362883;1281017;1330622;1253540;1297288;1223661;1262031;1193129;1232915;1162666;1199694;1131725;1167478;1096450
20 a 24;1280898;1238073;1285963;1242642;1289436;1245715;1291027;1247020;1290571;1246402;1288054;1243845;1283592;1239460;1277435;1233485;1269958;1226268;1261584;1218206;1252760;1209723;1243915;1201222;1234650;1192340;1225278;1183367;1216027;1174533;1207071;1165996;1198517;1157865;1191208;1150930;1185190;1145224;1180498;1140790;1177198;1137674;1175384;1135962;1175192;1135776;1176781;1137251;1180328;1140538;1185991;1145776;1194281;1153667;1210970;1170311;1231616;1189799;1254223;1210231;1272726;1227827;1301071;1253827;1329399;1278856;1355438;1302745;1384017;1328839;1427904;1368903;1449900;1389524;1460235;1399361;1460905;1401887;1451844;1395181;1422749;1371314;1392333;1344821;1359380;1317025;1331396;1288326;1297890;1257517;1263974;1220916;1237613;1194831;1210235;1166731;1181459;1138166;1161069;1115131;1153551;1108134
25 a 29;1367672;1364376;1362867;1359498;1356405;1353062;1348646;1345403;1340010;1336918;1330932;1328017;1321832;1319097;1312309;1309791;1302659;1300383;1293093;1291085;1283771;1282047;1274793;1273367;1266989;1265823;1260400;1259451;1255073;1254290;1251069;1250388;1248490;1247833;1247473;1246749;1248186;1247276;1250811;1249571;1255528;1253779;1262883;1260627;1278497;1276062;1298040;1294307;1319608;1313539;1337253;1330076;1364610;1354867;1391927;1378667;1416944;1401273;1444677;1426334;1487665;1465384;1509502;1485923;1520544;1496778;1523003;1501613;1516296;1498106;1490257;1478290;1463091;1456271;1433321;1433020;1407893;1408652;1376750;1381985;1345110;1349603;1321065;1327281;1296058;1302583;1270285;1277166;1252694;1256163;1246983;1248803;1247749;1244568;1250226;1239954;1254393;1241206;1260850;1245273;1264335;1248260
30 a 34;1385001;1417109;1375706;1407856;1365994;1398225;1356143;1388483;1346358;1378832;1336783;1369419;1327511;1360335;1319352;1352336;1312347;1345458;1306545;1339741;1302009;1335233;1298836;1332024;1297176;1330235;1297194;1330009;1299080;1331505;1303015;1334872;1309576;1340847;1324229;1355235;1342748;1372366;1363309;1390490;1380095;1406008;1406423;1429625;1432718;1452282;1456749;1473724;1483339;1497475;1524753;1534809;1545241;1553818;1554973;1563142;1556088;1566342;1548358;1561582;1521817;1541013;1494635;1518888;1465596;1496502;1441481;1474047;1412076;1449941;1382533;1420899;1360589;1401867;1337886;1380704;1314863;1359044;1300526;1342130;1298322;1338570;1302917;1338419;1309451;1337591;1317459;1341756;1326740;1347022;1331893;1349159;1333496;1348928;1342369;1358875;1359793;1375008;1385773;1400638;1420193;1433381
35 a 39;1372013;1431234;1362488;1421821;1354032;1413461;1346688;1406187;1340506;1400039;1335550;1395068;1331926;1391363;1329779;1389050;1329278;1388270;1330616;1389183;1333980;1391945;1339962;1397295;1353919;1410951;1371691;1427309;1391511;1444655;1407650;1459442;1433199;1482224;1458752;1504100;1482071;1524748;1507835;1547597;1548058;1583730;1567554;1601673;1576355;1609941;1576553;1612041;1567936;1606182;1540774;1584694;1512907;1561608;1483194;1538287;1458141;1514848;1428141;1490078;1398253;1460794;1376349;1441869;1354415;1421636;1333216;1401873;1321130;1387444;1321402;1386577;1328514;1389405;1337656;1391648;1348049;1398607;1359652;1406495;1367228;1411070;1371389;1412990;1382350;1424149;1401167;1440785;1427205;1465270;1460040;1495450;1508331;1539272;1568292;1590569;1637720;1651346;1710810;1712969;1795639;1782241
40 a 44;1357372;1438241;1353380;1434150;1350841;1431427;1349926;1430221;1350832;1430690;1353750;1432991;1359283;1437875;1372701;1450990;1389907;1466780;1409166;1483567;1424829;1497838;1449797;1520035;1474800;1541355;1497603;1561444;1522776;1583667;1562149;1618972;1580968;1636184;1589150;1643723;1588757;1645068;1579574;1638451;1552046;1616310;1523768;1592555;1493650;1568576;1468046;1544481;1437545;1519076;1407204;1489303;1384829;1469816;1362578;1449157;1341281;1429103;1329436;1414730;1330092;1414015;1337888;1417447;1348174;1420817;1360138;1429352;1373390;1439026;1382771;1445585;1388723;1449451;1401211;1462245;1421052;1480238;1447679;1505637;1480513;1536382;1527650;1580011;1585225;1630494;1651086;1689565;1719730;1748930;1799176;1815230;1870277;1869236;1933859;1918373;1980087;1947573;2011525;1965355;2014955;1957657
45 a 49;1356340;1441037;1353732;1438245;1352745;1436964;1353575;1437358;1356414;1439579;1361866;1444385;1375191;1457405;1392293;1473101;1411453;1489789;1427029;1503974;1451897;1526070;1476799;1547296;1499510;1567290;1524579;1589406;1563804;1624571;1582507;1641658;1590586;1649076;1590097;1650291;1580825;1643550;1553249;1621298;1524910;1597433;1494735;1573347;1469048;1549141;1438479;1523634;1408068;1493781;1385626;1474204;1363327;1453477;1342028;1433383;1330199;1418996;1330867;1418253;1338675;1421678;1348985;1425050;1360919;1433540;1374330;1443348;1383838;1450009;1390032;1454103;1402813;1467194;1422939;1485513;1449701;1511138;1482547;1542039;1529500;1585700;1586763;1636189;1652081;1695120;1720116;1754368;1798797;1820458;1869184;1874372;1932018;1923325;1977766;1952455;2008678;1969940;2012102;1962040;2005818;1949151
50 a 54;1356236;1444590;1355179;1443238;1355936;1443559;1358697;1445706;1364073;1450433;1377304;1463367;1394311;1478970;1413372;1495569;1428865;1509667;1453631;1531670;1478441;1552805;1501059;1572708;1526027;1594721;1565109;1629753;1583701;1646722;1591681;1654021;1591102;1655115;1581746;1648250;1554120;1625895;1525732;1601923;1495502;1577734;1469741;1553427;1439103;1527819;1408638;1497891;1386128;1478229;1363789;1457437;1342488;1437307;1330675;1422906;1331354;1422139;1339170;1425556;1349499;1428932;1361445;1437410;1374817;1447166;1384479;1453951;1390793;1458131;1403772;1471402;1424124;1489987;1451098;1515877;1483993;1546966;1530801;1590691;1587751;1641172;1652628;1700036;1720070;1759163;1798041;1825118;1867739;1878943;1929959;1927858;1975173;1956947;2005710;1974396;2008903;1966332;2002713;1953247;1982647;1927437
55 a 59;1357235;1449071;1357921;1449321;1360609;1451396;1365908;1456051;1379051;1468899;1395961;1484415;1414930;1500927;1430340;1514947;1455008;1536857;1479722;1557907;1502255;1577722;1527121;1599638;1566063;1634541;1584548;1651396;1592432;1658581;1591764;1659558;1582329;1652576;1554658;1630119;1526219;1606046;1495945;1581758;1470111;1557351;1439414;1531650;1408891;1501650;1386327;1481904;1363946;1461053;1342645;1440888;1330845;1426475;1331533;1425685;1339354;1429097;1349696;1432475;1361652;1440945;1375022;1450682;1384649;1457412;1391109;1461701;1404170;1475020;1424661;1493762;1451792;1519864;1484817;1551182;1531525;1595009;1588208;1645517;1652653;1704305;1719604;1763380;1796884;1829200;1865929;1882993;1927545;1931868;1972327;1961045;2002424;1978484;2005508;1970502;1999187;1957260;1979339;1931279;1955075;1904849
60 a 64;1359519;1454662;1362136;1456667;1367362;1461253;1380416;1474021;1397233;1489451;1416109;1505881;1431440;1519823;1456011;1541649;1480632;1562614;1503076;1582346;1527846;1604168;1566648;1638948;1585027;1655693;1592818;1662768;1592066;1663631;1582552;1656536;1554839;1633981;1526353;1609808;1496034;1585424;1470136;1560922;1439380;1535128;1408809;1505060;1386187;1485237;1363774;1464325;1342470;1444129;1330682;1429703;1331373;1428893;1339197;1432299;1349549;1435681;1361505;1444141;1374872;1453861;1384499;1460568;1390924;1464794;1404092;1478183;1424612;1496957;1451822;1523169;1484926;1554668;1531621;1598641;1588088;1649213;1652152;1707963;1718622;1766975;1795313;1832722;1863715;1886473;1924744;1935353;1969085;1964606;1998828;1982156;2001717;1974274;1995372;1961113;1975524;1935002;1951463;1908386;1926412;1881121
65 a 69;1363250;1461530;1368405;1466048;1381373;1478740;1398098;1494090;1416883;1510437;1432135;1524308;1456610;1546049;1481138;1566937;1503495;1586586;1528166;1608316;1566834;1642978;1585108;1659617;1592807;1666586;1591973;1667337;1582384;1660131;1554630;1637481;1526101;1613212;1495739;1588734;1469779;1564139;1438973;1538258;1408353;1508121;1385680;1488222;1363232;1467256;1341932;1447028;1330152;1432593;1330845;1431760;1338664;1435163;1349023;1438548;1360978;1446999;1374332;1456701;1383957;1463389;1390381;1467582;1403484;1480878;1424059;1499705;1451243;1525909;1484360;1557492;1531000;1601570;1587342;1652253;1651081;1711004;1717121;1769985;1793237;1835649;1861087;1889408;1921530;1938280;1965426;1967641;1994800;1985289;1997557;1977618;1991097;1964556;1971344;1938545;1947281;1911787;1922503;1884379;1902838;1865115
70 a 74;1368997;1470437;1381881;1483054;1398516;1498327;1417211;1514598;1432384;1528395;1456765;1550058;1481199;1570867;1503468;1590439;1528043;1612081;1566574;1646627;1584746;1663162;1592355;1670027;1591440;1670671;1581779;1663356;1553986;1640611;1525416;1616249;1495016;1591679;1468996;1566994;1438142;1541025;1407481;1510826;1384759;1490852;1362281;1469832;1340980;1449577;1329212;1435130;1329902;1434279;1337714;1437676;1348072;1441066;1360024;1449508;1373363;1459192;1382977;1465858;1389397;1470022;1402468;1483256;1422935;1501980;1450120;1528197;1483149;1559752;1529677;1603844;1585861;1654599;1649369;1713400;1715031;1772386;1790624;1837997;1857929;1891745;1917864;1940651;1961300;1970099;1990292;1987870;1992885;1980393;1986360;1967536;1966608;1941643;1942634;1914966;1917934;1887463;1898450;1867995;1881645;1853707
75 a 79;1381897;1486955;1398443;1502152;1417049;1518349;1432146;1532078;1456429;1553661;1480771;1574396;1502949;1593889;1527426;1615445;1565822;1649879;1583891;1666313;1591411;1673074;1590417;1673612;1580685;1666192;1552855;1643352;1524247;1618898;1493810;1594239;1467736;1569465;1436836;1543413;1406139;1513149;1383373;1493106;1360867;1472033;1339567;1451750;1327807;1437295;1328494;1436424;1336293;1439816;1346648;1443211;1358588;1451645;1371910;1461312;1381509;1467955;1387915;1472088;1400951;1485261;1421340;1503912;1448369;1529991;1481338;1561538;1527663;1605538;1583636;1656278;1646884;1715092;1712262;1774130;1787379;1839718;1854181;1893476;1913606;1942393;1956644;1971958;1985231;1989831;1987630;1982564;1980999;1969896;1961285;1944222;1937308;1917646;1912767;1890260;1893281;1870640;1876764;1856173;1857969;1838001
80 a 84;1397841;1505548;1416357;1521672;1431378;1535335;1455566;1556843;1479809;1577501;1501899;1596920;1526273;1618389;1564532;1652712;1582499;1669047;1589930;1675708;1588859;1676140;1579058;1668614;1551192;1645682;1522550;1621137;1492080;1596390;1465954;1571528;1435014;1545393;1404282;1515070;1381477;1494956;1358946;1473834;1337649;1453524;1325895;1439061;1326576;1438173;1334361;1441560;1344705;1444957;1356631;1453385;1369928;1463035;1379509;1469657;1385898;1473757;1398889;1486870;1419196;1505447;1446099;1531417;1478858;1562810;1525007;1606739;1580687;1657363;1643629;1716109;1708696;1775161;1783432;1840775;1849770;1894564;1908720;1943507;1951349;1973160;1979587;1991160;1981756;1984076;1974983;1971610;1955261;1946138;1931316;1919760;1906839;1892508;1887427;1872943;1871023;1858349;1852534;1840073;1835014;1825879
85 a 89;1415113;1524543;1430055;1538141;1454147;1559574;1478294;1580161;1500289;1599504;1524563;1620889;1562679;1655102;1580544;1671338;1587886;1677900;1586739;1678229;1576873;1670598;1548974;1647574;1520299;1622939;1489801;1598105;1463626;1573158;1432650;1546940;1401888;1516558;1379046;1496378;1356495;1475207;1335203;1454874;1323456;1440405;1324127;1439501;1331894;1442884;1342226;1446286;1354132;1454705;1367401;1464342;1376959;1470941;1383326;1475012;1396268;1488062;1416486;1506568;1443258;1532430;1475837;1563699;1521668;1607416;1577083;1657946;1639646;1716530;1704363;1775520;1778696;1841122;1844665;1894992;1903172;1943980;1945418;1973729;1973295;1991828;1975277;1984949;1968321;1972660;1948550;1947403;1924592;1921209;1900204;1894182;1880780;1874692;1864547;1860170;1846200;1841844;1829076;1827551;1820319;1820736
90 a 94;1428169;1540467;1452162;1561828;1476209;1582342;1498112;1601612;1522279;1622914;1560254;1657018;1578012;1673156;1585266;1679617;1584044;1679845;1574114;1672113;1546186;1648995;1517483;1624271;1486957;1599351;1460738;1574319;1429730;1548023;1398944;1517581;1376068;1497336;1353499;1476120;1332214;1455764;1320476;1441291;1321137;1440373;1328881;1443754;1339198;1447163;1351081;1455575;1364318;1465196;1373847;1471777;1380190;1475816;1393079;1488808;1413202;1507239;1439836;1532996;1472231;1564139;1517774;1607673;1572789;1657971;1635003;1716416;1699306;1775256;1773202;1840776;1838781;1894685;1896941;1943765;1938828;1973626;1966367;1991828;1968146;1985123;1961044;1973030;1941178;1947961;1917168;1921963;1892818;1895145;1873407;1875817;1857253;1861381;1839103;1843198;1822218;1828858;1813799;1821951;1791817;1800304
95 a 99;1449616;1563579;1473561;1584022;1495366;1603219;1519427;1624439;1557254;1658435;1574906;1674476;1582069;1680839;1580773;1680963;1570779;1673129;1542825;1649922;1514099;1625109;1483550;1600103;1457288;1574987;1426252;1548610;1395444;1518114;1372540;1497804;1349956;1476545;1328680;1456170;1316949;1441695;1317599;1440764;1325318;1444146;1335614;1447563;1347472;1455971;1360671;1465578;1370170;1472140;1376481;1476151;1389313;1489083;1409334;1507443;1435823;1533090;1468025;1564112;1513274;1607462;1567917;1657557;1629650;1715727;1693566;1774440;1766969;1839796;1832129;1893679;1889918;1942811;1931539;1972828;1958763;1991151;1960353;1984620;1953087;1972693;1933158;1947832;1909050;1922002;1884693;1895401;1865247;1876221;1849181;1861955;1831137;1843923;1814534;1829724;1806300;1822773;1784798;1801139;1749094;1766124
100 o mas;1470367;1585186;1492073;1604311;1516023;1625450;1553701;1659338;1571244;1675283;1578316;1681547;1576945;1681569;1566889;1673633;1538912;1650335;1510165;1625435;1479600;1600345;1453300;1575145;1422238;1548690;1391413;1518137;1368482;1497767;1345888;1476464;1324622;1456072;1312901;1441597;1313535;1440657;1321227;1444040;1331501;1447468;1343327;1455873;1356488;1465469;1365950;1472012;1372231;1475996;1384997;1488869;1404914;1507157;1431251;1532697;1463254;1563593;1508200;1606759;1562465;1656652;1623747;1714575;1687152;1773027;1760088;1838240;1824782;1892020;1882180;1941144;1923515;1971279;1950519;1989767;1951944;1983428;1944529;1971668;1924520;1946986;1900349;1921344;1875938;1894930;1856417;1875906;1840386;1861791;1822455;1843989;1806043;1829932;1798035;1823118;1776870;1801545;1741740;1766627;1706849;1733656
